Gene Set Name	Description	No.Genes in Overlap (k)	No.query genes after removing redundancy	Category	No.Genes of this gene set	Overlap Genes	p value	FDR
ANAC038_COL_A	ANAC038_col_a(AT2G24430) Target genes predicted by DAP-seq	89	736	TFT	5259	AT1G64660//AT1G03360//AT3G62120//AT1G18850//AT5G07090//AT4G31810//AT3G28270//AT1G16960//AT5G67220//AT5G11410//AT4G16720//AT5G30490//AT4G27390//AT1G29720//AT4G09800//AT1G15250//AT5G57050//AT1G56110//AT3G27710//AT4G05380//AT2G21640//AT1G30580//AT3G13940//AT2G03670//AT3G18610//AT1G10840//AT1G14810//AT5G61880//AT2G20800//AT5G53540//AT2G24560//AT4G24480//AT4G17840//AT1G79150//AT1G73680//AT5G40200//AT1G48400//AT1G21400//AT4G27640//AT5G60260//AT5G36900//AT5G24280//AT2G39990//AT1G05680//AT2G45670//AT1G09640//AT5G15360//AT4G21490//AT3G05130//AT1G11070//AT3G02080//AT5G57490//AT2G36070//AT1G57870//AT4G30990//AT5G11840//AT2G18193//AT5G14490//AT4G31700//AT4G21770//AT4G29030//AT1G55040//AT3G46210//AT5G04150//AT1G47920//AT4G04030//AT4G32510//AT5G27470//AT2G40450//AT3G12670//AT2G19640//AT1G57660//AT5G06110//AT1G08610//AT5G26270//AT3G51130//AT3G30770//AT4G01860//AT5G15810//AT3G55510//AT1G27400//AT2G39850//AT1G34030//AT5G37490//AT5G23710//AT1G64600//AT1G07430//AT3G26230//AT5G10240	0.999997433682363	1
RRNA_BINDING	GO:0019843   rRNA binding,    GOslim:molecular_function	4	736	MF	25	AT4G10450//AT5G15750//AT5G39850//AT5G39740	0.00555116715513873	0.364607427765554
MEIOTIC_CHROMOSOME_SEGREGATION	GO:0045132   meiotic chromosome segregation,    GOslim:biological_process	4	736	BP	118	AT5G51330//AT2G42720//AT5G15610//AT3G26730	0.362442956581325	1
CYTOPLASMIC_RIBOSOMAL_PROTEIN_GENE_FAMILY_L34	Cytoplasmic ribosomal protein gene family ,L34	1	736	OTH	3	AT1G26880	0.0960937982473294	1
CYTOPLASMIC_RIBOSOMAL_PROTEIN_GENE_FAMILY_L37	Cytoplasmic ribosomal protein gene family ,L37	1	736	OTH	3	AT1G15250	0.0960937982473294	1
CYTOPLASMIC_RIBOSOMAL_PROTEIN_GENE_FAMILY_L30	Cytoplasmic ribosomal protein gene family ,L30	1	736	OTH	3	AT1G77940	0.0960937982473294	1
CYTOPLASMIC_RIBOSOMAL_PROTEIN_GENE_FAMILY_L32	Cytoplasmic ribosomal protein gene family ,L32	1	736	OTH	2	AT5G46430	0.0729714930725073	1
CYTOSOLIC_PART	GO:0044445   cytosolic part,    GOslim:cellular_component	86	736	CC	260	AT3G09500//AT5G60670//AT3G55750//AT1G58684//AT3G62870//AT2G31610//AT5G07090//AT2G36170//AT2G04390//AT4G29410//AT3G04770//AT1G59359//AT5G15750//AT4G09800//AT1G15250//AT2G19730//AT5G47930//AT5G16130//AT5G02870//AT5G39850//AT3G24830//AT1G77940//AT2G44120//AT3G10610//AT2G18020//AT5G35530//AT2G45710//AT1G15930//AT4G35490//AT4G25740//AT3G55280//AT1G43170//AT2G47610//AT5G23900//AT5G58420//AT1G08360//AT3G13580//AT1G58983//AT1G23410//AT3G14600//AT4G36130//AT1G74060//AT4G10450//AT5G22440//AT3G16780//AT1G18540//AT1G72370//AT5G59240//AT2G39390//AT4G15000//AT1G58380//AT3G09630//AT3G02080//AT3G56340//AT2G05220//AT2G41840//AT3G11940//AT4G31700//AT5G10360//AT4G16720//AT5G09510//AT3G09680//AT2G40590//AT5G46430//AT3G02560//AT3G04920//AT3G06680//AT2G44860//AT2G17360//AT2G40510//AT5G52650//AT1G29965//AT1G74270//AT1G74050//AT3G49010//AT4G13170//AT5G20290//AT3G58700//AT1G27400//AT1G34030//AT1G80750//AT2G36160//AT2G37270//AT1G22780//AT5G04800//AT5G39740	2.47699365112907e-60	3.94799164560465e-57
TETRAPYRROLE_CATABOLIC_PROCESS	GO:0033015   tetrapyrrole catabolic process,    GOslim:biological_process	1	736	BP	62	AT5G11840	0.796650829285161	1
RESPONSE_TO_EXTRACELLULAR_STIMULUS	GO:0009991   response to extracellular stimulus,    GOslim:biological_process	8	736	BP	370	AT1G64660//AT1G32870//AT3G27740//AT1G29395//AT1G05680//AT5G04150//AT1G29900//AT3G20330	0.728612630645715	1
TERPENE_BIOSYNTHETIC_PROCESS	GO:0046246   terpene biosynthetic process,    GOslim:biological_process	2	736	BP	52	AT1G32550//AT5G57030	0.391280930466976	1
TIC_COMPLEX	GO:0031897   Tic complex,    GOslim:cellular_component	1	736	CC	5	AT5G16620	0.140624852055019	1
AT3G16280_COLAMP_A	AT3G16280_colamp_a(AT3G16280) Target genes predicted by DAP-seq	217	736	TFT	10192	AT1G72440//AT1G64660//AT5G60990//AT4G19130//AT2G40030//AT2G40450//AT5G47650//AT5G57490//AT1G49760//AT5G45140//AT1G61570//AT1G64550//AT5G39850//AT2G34260//AT1G51310//AT2G34970//AT3G57660//AT4G24480//AT4G15850//AT1G50920//AT3G28270//AT4G18905//AT1G03910//AT3G58270//AT4G37090//AT3G12390//AT1G03860//AT1G63660//AT2G19385//AT3G04770//AT4G36580//AT1G36180//AT5G15750//AT3G01600//AT1G29720//AT1G74870//AT3G55510//AT2G22490//AT2G35580//AT4G38810//AT3G61620//AT3G23940//AT1G28530//AT5G53230//AT3G49180//AT1G79190//AT2G28600//AT5G02870//AT3G03630//AT1G64050//AT1G25350//AT3G18610//AT1G77940//AT4G31180//AT3G55690//AT4G35490//AT5G65860//AT3G55010//AT5G19510//AT4G21140//AT1G34315//AT3G57150//AT4G39040//AT3G01610//AT5G41190//AT1G27470//AT4G02400//AT5G61880//AT2G45710//AT5G57050//AT5G27620//AT2G24050//AT2G37690//AT5G14580//AT2G24560//AT5G44980//AT1G42440//AT4G25630//AT1G43170//AT2G47610//AT3G15640//AT3G51270//AT5G64420//AT5G23900//AT4G17840//AT5G14050//AT5G58130//AT4G29510//AT3G52140//AT5G22320//AT1G73680//AT2G18220//AT3G51750//AT4G24280//AT4G32400//AT1G17690//AT2G18900//AT3G55620//AT5G27640//AT2G10440//AT3G13882//AT2G35240//AT4G34265//AT2G03710//AT4G00620//AT5G51330//AT3G03150//AT5G13280//AT5G25800//AT5G36900//AT4G37910//AT4G24830//AT4G29030//AT5G24280//AT5G49560//AT5G22440//AT1G27510//AT1G32580//AT2G39990//AT1G12250//AT4G05410//AT2G43110//AT3G16780//AT5G42980//AT4G02220//AT4G28450//AT5G41360//AT5G04600//AT2G45670//AT2G05440//AT4G30150//AT3G49660//AT2G04050//AT3G61630//AT5G60250//AT1G29900//AT2G18193//AT1G72090//AT1G06670//AT5G23710//AT3G11710//AT3G05130//AT3G01160//AT1G11070//AT2G40360//AT2G18020//AT1G49540//AT2G18190//AT3G22310//AT3G20050//AT5G35760//AT2G36070//AT2G21440//AT5G08540//AT5G11840//AT5G66400//AT1G47490//AT1G03110//AT4G04940//AT1G55040//AT1G20140//AT1G04170//AT3G16840//AT1G75240//AT1G67120//AT5G17270//AT5G10360//AT3G22120//AT3G21950//AT1G15440//AT1G06720//AT1G32870//AT1G47500//AT3G01550//AT3G23620//AT1G67865//AT1G03360//AT1G47920//AT2G24255//AT1G20400//AT3G24780//AT1G49920//AT1G08910//AT5G46430//AT3G04920//AT2G06420//AT2G39670//AT5G27470//AT1G30960//AT3G12670//AT2G19640//AT2G44120//AT3G07750//AT1G08610//AT3G56990//AT1G70440//AT1G26880//AT5G13830//AT3G16810//AT5G02050//AT4G14000//AT3G27180//AT4G23540//AT1G17880//AT2G34570//AT1G80750//AT2G07215//AT4G19210//AT2G25625//AT4G15770//AT1G29395//AT5G20160//AT1G30170//AT2G23350//AT1G07430//AT2G20060//AT1G02870	0.999675366892789	1
EXONUCLEASE_ACTIVITY,_ACTIVE_WITH_EITHER_RIBO-_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_5-PHOSPHOMONOESTERS	GO:0016796   exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters,    GOslim:molecular_function	7	736	MF	16	AT5G14580//AT4G27490//AT3G60500//AT3G07750//AT3G46210//AT3G61620//AT5G42540	1.00944034307187e-06	0.000120067976305942
CELLULAR_RESPONSE_TO_DSRNA	GO:0071359   cellular response to dsRNA,    GOslim:biological_process	8	736	BP	143	AT2G27840//AT2G40030//AT3G01610//AT4G28200//AT1G79950//AT3G57290//AT2G06990//AT3G49500	0.036003076812036	1
POLLEN_TUBE_GROWTH	GO:0009860   pollen tube growth,    GOslim:biological_process	1	736	BP	255	AT1G68990	0.998487547937488	1
DIAMINOPIMELATE_METABOLIC_PROCESS	GO:0046451   diaminopimelate metabolic process,    GOslim:biological_process	3	736	BP	15	AT3G60880//AT1G14810//AT3G14390	0.00953288770816148	0.54786522782492
COBALT_ION_BINDING	GO:0050897   cobalt ion binding,    GOslim:molecular_function	3	736	MF	47	AT3G06790//AT3G15640//AT4G02930	0.128558769454363	1
GROWTH	GO:0040007   growth,    GOslim:biological_process	5	736	BP	938	AT5G10360//AT1G68990//AT4G31700//AT4G07410//AT5G40770	0.999999425437927	1
EMBRYO_SAC_DEVELOPMENT	GO:0009553   embryo sac development,    GOslim:biological_process	48	736	BP	242	AT1G72440//AT1G79150//AT1G03360//AT1G51380//AT1G15440//AT3G49240//AT5G41190//AT5G45140//AT5G61880//AT2G34260//AT5G19300//AT3G12860//AT1G80620//AT2G16570//AT4G15850//AT3G56990//AT4G37090//AT1G03860//AT2G40700//AT5G62440//AT5G15610//AT2G47990//AT3G01160//AT4G36580//AT5G22320//AT1G49540//AT2G45280//AT4G28200//AT2G34900//AT3G62310//AT5G52520//AT1G17690//AT4G32720//AT2G20490//AT2G28600//AT3G11964//AT3G60360//AT4G02820//AT2G03670//AT3G48250//AT1G31660//AT4G27010//AT5G35910//AT1G52930//AT4G31180//AT5G17270//AT3G12270//AT4G05410	1.81823783079865e-25	5.57312363350326e-23
MYB65_COL200_A	MYB65_col200_a(AT3G11440) Target genes predicted by DAP-seq	41	736	TFT	2565	AT5G17710//AT3G22120//AT3G10610//AT5G60990//AT2G03130//AT1G06560//AT5G24280//AT1G74060//AT4G16630//AT1G80410//AT2G34260//AT2G43110//AT2G37690//AT1G52315//AT1G10490//AT2G05160//AT5G28235//AT1G51310//AT1G29940//AT5G52650//AT5G62440//AT1G57720//AT4G07410//AT5G48240//AT1G68660//AT1G58380//AT1G36180//AT3G51750//AT1G01250//AT3G26730//AT3G22310//AT3G27180//AT2G18193//AT4G38150//AT2G19670//AT3G03060//AT3G11410//AT3G49140//AT1G55040//AT1G07430//AT4G00620	0.999685348207251	1
ATY13_COL_A	ATY13_col_a(AT1G74650) Target genes predicted by DAP-seq	316	736	TFT	13683	AT1G72440//AT5G18570//AT2G38195//AT2G39020//AT1G60850//AT5G57050//AT1G48570//AT3G62120//AT5G45140//AT3G27180//AT1G80270//AT2G34260//AT1G63660//AT2G31610//AT3G21540//AT5G42540//AT2G24500//AT1G51380//AT4G30990//AT2G36170//AT4G15850//AT4G24830//AT5G25230//AT3G02760//AT1G48630//AT1G16960//AT1G08910//AT5G17270//AT1G29940//AT5G60670//AT5G20600//AT3G28070//AT2G40430//AT2G19385//AT5G22650//AT3G07430//AT3G04770//AT3G61780//AT3G56150//AT1G02060//AT2G04030//AT4G27390//AT3G45430//AT5G16930//AT1G29720//AT3G55510//AT4G13150//AT2G22490//AT3G05030//AT2G43650//AT4G05400//AT1G17470//AT1G15440//AT3G61620//AT3G23940//AT1G73700//AT1G28530//AT5G55920//AT5G19510//AT1G79190//AT5G16130//AT5G06550//AT3G27710//AT2G16650//AT5G14610//AT1G67120//AT2G35500//AT2G21640//AT4G23540//AT3G13940//AT2G03670//AT5G37130//AT5G39850//AT1G31660//AT1G64600//AT4G19130//AT1G72320//AT1G25350//AT1G77940//AT4G31180//AT4G00620//AT5G40770//AT3G62940//AT5G17710//AT1G06560//AT2G28600//AT5G27230//AT5G04600//AT3G61630//AT4G39040//AT3G12270//AT4G00930//AT1G27470//AT4G02400//AT3G60880//AT5G61880//AT3G15080//AT4G39300//AT1G65230//AT5G53540//AT1G15790//AT1G80620//AT1G47490//AT2G37690//AT1G12920//AT2G41190//AT2G05160//AT3G27620//AT2G24560//AT5G08540//AT2G03550//AT1G20220//AT1G42440//AT4G25630//AT3G05060//AT3G15640//AT5G02050//AT3G13150//AT5G23900//AT2G06990//AT1G80410//AT5G46160//AT1G09810//AT1G03910//AT1G79150//AT3G20000//AT1G52980//AT3G11250//AT1G73680//AT5G57030//AT1G03530//AT2G18110//AT1G78750//AT1G30240//AT4G24280//AT4G32400//AT1G18800//AT5G40200//AT4G11211//AT2G18900//AT5G41765//AT2G45310//AT5G27640//AT4G15730//AT3G18140//AT3G62310//AT2G03710//AT3G29633//AT5G51330//AT2G17250//AT5G62270//AT3G03150//AT3G48500//AT5G11240//AT5G65860//AT2G40010//AT5G60260//AT4G36130//AT5G25800//AT5G36900//AT3G18600//AT2G03130//AT3G22120//AT5G24280//AT1G74060//AT1G27510//AT4G29030//AT2G39990//AT3G56120//AT4G05410//AT3G58660//AT2G43110//AT3G60980//AT1G64220//AT2G20585//AT4G28450//AT1G20370//AT4G15640//AT1G77030//AT4G08868//AT4G16215//AT2G40450//AT4G30150//AT1G06380//AT5G23710//AT2G05915//AT5G60250//AT2G19730//AT2G28000//AT3G03920//AT3G06530//AT4G24480//AT5G48240//AT3G57940//AT1G70160//AT2G47990//AT1G11070//AT4G13750//AT2G40360//AT5G09840//AT1G49540//AT5G61770//AT3G60500//AT5G27330//AT4G10620//AT5G23300//AT3G07630//AT3G22310//AT3G20050//AT5G35760//AT4G28030//AT1G57870//AT4G25730//AT2G31660//AT2G25640//AT3G54090//AT1G24148//AT1G48400//AT1G17960//AT5G58610//AT2G19670//AT3G11964//AT3G11940//AT3G15460//AT3G55010//AT3G03060//AT3G56490//AT4G04940//AT1G55040//AT2G35240//AT3G51750//AT3G16840//AT1G75240//AT3G02790//AT5G58420//AT5G13940//AT3G06200//AT5G39740//AT2G47790//AT3G21950//AT3G49410//AT1G67680//AT1G47500//AT1G07920//AT3G22320//AT3G23620//AT2G05440//AT1G68990//AT2G46230//AT4G16720//AT5G23250//AT5G04150//AT3G19210//AT3G55160//AT2G34750//AT3G24780//AT1G52315//AT3G02560//AT1G58380//AT3G04920//AT1G10490//AT2G06420//AT2G39670//AT1G52160//AT5G27470//AT1G30960//AT4G31160//AT4G37980//AT2G19640//AT1G74560//AT1G36180//AT1G13160//AT1G14610//AT1G08610//AT5G52650//AT5G62440//AT1G20140//AT1G70440//AT1G64050//AT4G17840//AT3G14600//AT5G45095//AT3G49010//AT3G56070//AT5G14520//AT4G13170//AT1G71280//AT4G32510//AT4G01860//AT5G15810//AT1G01250//AT5G20290//AT3G26730//AT1G30680//AT1G62390//AT3G12080//AT1G14060//AT1G80750//AT4G32720//AT1G79470//AT1G22780//AT4G27640//AT4G25740//AT1G29395//AT5G05060//AT1G26630//AT4G31210//AT1G08190//AT1G22960//AT2G23350//AT5G35910//AT1G07430//AT3G60360//AT3G55280//AT3G47580//AT4G38810	0.994115183836013	1
LBD2_COLAMP_A	LBD2_colamp_a(AT1G06280) Target genes predicted by DAP-seq	150	736	TFT	7331	AT1G72440//AT1G64660//AT2G33380//AT2G31610//AT1G28395//AT2G34970//AT5G42540//AT1G71280//AT4G18905//AT1G16960//AT4G37090//AT1G32550//AT1G29940//AT5G52470//AT4G27390//AT5G16930//AT4G13150//AT2G22490//AT2G35580//AT2G43650//AT5G45140//AT4G04670//AT5G57050//AT4G38150//AT1G79190//AT2G28600//AT5G06550//AT2G39990//AT2G21640//AT5G58610//AT1G31660//AT1G75200//AT2G34357//AT3G04600//AT1G10840//AT3G56490//AT5G65860//AT5G04600//AT1G18080//AT4G32400//AT5G41190//AT1G79950//AT4G02400//AT5G61880//AT2G17670//AT2G34520//AT4G22720//AT2G20800//AT5G44320//AT5G62370//AT1G47490//AT2G16570//AT1G12920//AT2G05160//AT2G24560//AT2G03550//AT4G24480//AT2G18900//AT5G23900//AT2G06990//AT4G17840//AT5G14050//AT5G08620//AT1G73680//AT3G16650//AT1G77030//AT5G01445//AT1G69070//AT4G11211//AT3G13882//AT2G35240//AT5G03390//AT1G49920//AT2G17250//AT3G61100//AT3G48500//AT3G26730//AT4G27640//AT5G60260//AT1G09810//AT5G25800//AT5G36900//AT4G24830//AT5G49560//AT5G22440//AT4G25630//AT2G39850//AT2G23070//AT1G15930//AT1G62540//AT5G41360//AT2G40700//AT2G45670//AT3G23480//AT3G49660//AT2G04050//AT3G06530//AT2G18193//AT5G23710//AT3G11710//AT2G47990//AT4G13750//AT2G40360//AT4G00930//AT2G34900//AT1G14810//AT3G22310//AT5G35760//AT5G51540//AT4G30990//AT1G74870//AT5G66400//AT4G04940//AT1G75240//AT1G67120//AT1G27510//AT5G04150//AT1G15440//AT5G09510//AT5G23250//AT1G67865//AT3G56570//AT3G09680//AT2G24255//AT1G20400//AT4G32510//AT5G16130//AT3G04920//AT2G39670//AT1G73490//AT1G74560//AT5G40490//AT4G35490//AT2G04030//AT2G37990//AT1G26880//AT1G64050//AT4G25340//AT3G56070//AT3G19440//AT1G17880//AT1G30680//AT1G62390//AT3G20300//AT1G22780//AT5G04800//AT5G37490//AT1G22960//AT1G07430//AT3G26230	0.999423089115432	1
REGULATION_OF_DEFENSE_RESPONSE	GO:0031347   regulation of defense response,    GOslim:biological_process	3	736	BP	529	AT4G32400//AT2G30770//AT1G67870	0.99985717325314	1
GLUTAMINYL-TRNA_AMINOACYLATION	GO:0006425   glutaminyl-tRNA aminoacylation,    GOslim:biological_process	1	736	BP	2	AT1G25350	0.0729714930725073	1
SPL9_COL_A	SPL9_col_a(AT2G42200) Target genes predicted by DAP-seq	307	736	TFT	13831	AT1G72440//AT1G64660//AT1G03360//AT1G51380//AT2G40030//AT1G60850//AT3G57660//AT1G17560//AT1G48570//AT2G33380//AT2G16650//AT5G59240//AT1G51310//AT1G18850//AT1G73230//AT3G21540//AT4G24480//AT2G19540//AT5G40490//AT2G36170//AT4G15850//AT1G50920//AT3G28500//AT4G18905//AT1G03910//AT1G03860//AT1G56110//AT3G12390//AT4G28200//AT2G46280//AT1G29940//AT5G61770//AT4G37925//AT2G40430//AT3G03060//AT1G67680//AT3G56150//AT1G02060//AT4G36580//AT3G45430//AT3G56340//AT1G29720//AT1G71730//AT4G09800//AT1G15250//AT5G26180//AT3G62460//AT2G35580//AT5G16130//AT5G39840//AT4G38810//AT3G27180//AT3G12670//AT1G28530//AT5G19820//AT5G47930//AT4G02220//AT1G79190//AT2G43650//AT5G15420//AT3G03341//AT3G63130//AT5G14610//AT1G67120//AT2G35500//AT4G02820//AT4G23540//AT5G27620//AT5G47455//AT4G19210//AT3G48250//AT4G27010//AT2G34357//AT3G24830//AT1G64550//AT4G00620//AT3G56490//AT4G02930//AT5G17710//AT3G10610//AT3G58660//AT3G20000//AT5G24840//AT2G18180//AT3G57150//AT1G18080//AT5G22320//AT5G06110//AT3G01610//AT5G41190//AT1G79950//AT3G01345//AT2G17670//AT4G25340//AT4G35490//AT1G65230//AT5G44320//AT3G57000//AT1G80620//AT5G07090//AT1G47490//AT2G03820//AT4G01037//AT4G25740//AT2G24500//AT2G03550//AT5G44980//AT5G04600//AT4G25630//AT1G65150//AT3G52140//AT1G73180//AT4G11420//AT5G64420//AT3G06790//AT5G23900//AT4G07410//AT3G11710//AT5G46160//AT4G16180//AT1G10500//AT4G29510//AT5G08620//AT2G15000//AT1G73680//AT1G03530//AT3G10530//AT2G18110//AT3G51750//AT1G77030//AT1G30240//AT5G01445//AT4G24280//AT5G18570//AT1G29965//AT3G16650//AT1G60770//AT4G15730//AT4G34265//AT3G18600//AT4G19130//AT2G03710//AT2G17250//AT3G60960//AT5G52820//AT1G21400//AT5G13280//AT3G48500//AT5G11240//AT3G62940//AT2G40010//AT5G05990//AT5G60260//AT4G36130//AT5G18790//AT3G23990//AT5G58610//AT4G37910//AT4G24830//AT2G44510//AT5G24280//AT4G29200//AT5G22440//AT1G27510//AT1G06380//AT2G39990//AT1G05680//AT3G12080//AT2G43110//AT3G60980//AT1G64220//AT2G20585//AT1G62540//AT2G38310//AT3G16780//AT2G40700//AT4G15640//AT4G08868//AT2G40450//AT4G30150//AT3G49660//AT1G18540//AT2G45670//AT5G16750//AT1G70440//AT4G39040//AT1G29900//AT3G06530//AT3G20300//AT3G49500//AT5G20290//AT3G57940//AT1G70160//AT2G47990//AT3G01160//AT1G11070//AT4G13750//AT1G58380//AT3G26230//AT5G55510//AT5G67220//AT3G47450//AT3G60500//AT3G03920//AT5G23300//AT3G22310//AT5G57490//AT5G52520//AT2G36070//AT2G05220//AT1G57870//AT5G11270//AT1G24148//AT3G58470//AT5G66400//AT3G53630//AT2G19670//AT3G11964//AT3G15460//AT3G55010//AT2G39390//AT1G80410//AT1G55040//AT2G35240//AT1G04170//AT1G75240//AT3G02790//AT5G17270//AT4G26600//AT5G10360//AT5G13940//AT3G42723//AT5G08600//AT5G04150//AT1G06720//AT1G32870//AT1G47500//AT3G23620//AT2G05440//AT3G54090//AT3G20050//AT4G16720//AT5G23250//AT5G30490//AT3G12860//AT3G20440//AT1G26470//AT5G65850//AT1G52315//AT3G55160//AT5G60670//AT3G04920//AT1G10490//AT5G42030//AT2G39670//AT2G06990//AT1G30960//AT4G37980//AT3G57290//AT1G74560//AT1G36180//AT3G11410//AT1G14610//AT1G08610//AT2G04030//AT3G05030//AT5G13780//AT5G13830//AT3G03150//AT5G45095//AT3G49010//AT2G35040//AT5G15550//AT5G41970//AT3G30770//AT1G08910//AT4G01860//AT1G01250//AT3G02560//AT3G26730//AT3G55510//AT1G27400//AT2G39850//AT5G60250//AT1G34030//AT4G32720//AT2G07215//AT5G48120//AT1G79470//AT2G45280//AT5G08180//AT1G22780//AT3G61630//AT5G39740//AT1G29395//AT5G05060//AT4G31210//AT5G37490//AT1G08190//AT1G30170//AT2G23350//AT1G07430//AT2G20060//AT5G10240//AT3G11250//AT3G12270//AT1G17960	0.999724058140362	1
CELLULAR_AMINO_ACID_BIOSYNTHETIC_PROCESS	GO:0008652   cellular amino acid biosynthetic process,    GOslim:biological_process	16	736	BP	501	AT5G57890//AT4G24830//AT4G39040//AT2G35500//AT1G63660//AT3G03630//AT1G14810//AT3G14390//AT3G60880//AT1G29900//AT5G13280//AT3G07630//AT3G23940//AT5G63890//AT5G10240//AT5G46160	0.223098402767086	1
CELLULAR_BIOGENIC_AMINE_METABOLIC_PROCESS	GO:0006576   cellular biogenic amine metabolic process,    GOslim:biological_process	5	736	BP	181	AT5G63890//AT4G28030//AT5G57890//AT5G46790//AT1G09620	0.495897213397718	1
DEAD/H-BOX_RNA_HELICASE_BINDING	GO:0017151   DEAD/H-box RNA helicase binding,    GOslim:molecular_function	1	736	MF	2	AT4G15850	0.0729714930725073	1
URIDINE-5-PHOSPHATE_BIOSYNTHESIS	uridine-5'-phosphate biosynthesis	4	736	Cyc	6	AT1G29900//AT5G23300//AT3G20330//AT3G27740	7.14843292832341e-05	0.00694733642606697
PYRIDOXAL_PHOSPHATE_BINDING	GO:0030170   pyridoxal phosphate binding,    GOslim:molecular_function	1	736	MF	104	AT3G03630	0.929816096933271	1
CELL_PLATE	GO:0009504   cell plate,    GOslim:cellular_component	1	736	CC	27	AT3G63130	0.507124761447632	1
ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	GO:0007167   enzyme linked receptor protein signaling pathway,    GOslim:biological_process	1	736	BP	130	AT3G47580	0.963700598419881	1
ADENOSINE_NUCLEOTIDES_DEGRADATION_I	adenosine nucleotides degradation I	1	736	Cyc	10	AT1G79470	0.242600942212811	1
AT2G40260_COLAMP_A	AT2G40260_colamp_a(AT2G40260) Target genes predicted by DAP-seq	223	736	TFT	11578	AT1G64660//AT2G40030//AT5G16620//AT1G60850//AT1G48570//AT2G30770//AT5G39850//AT1G51310//AT3G57660//AT1G73230//AT3G21540//AT5G26270//AT4G30990//AT5G25230//AT4G18905//AT3G58270//AT1G32550//AT1G29940//AT3G54730//AT2G40700//AT5G20600//AT1G57720//AT5G65850//AT2G19385//AT5G22650//AT5G11410//AT4G36580//AT1G36180//AT5G15750//AT2G18900//AT1G29720//AT1G79190//AT4G09800//AT4G13150//AT1G22960//AT5G39840//AT3G27180//AT1G28530//AT1G64880//AT5G16130//AT3G27710//AT5G60960//AT2G21640//AT2G18720//AT2G03670//AT3G19630//AT3G49140//AT4G27010//AT2G34357//AT1G25350//AT3G18610//AT2G47990//AT5G40770//AT4G02930//AT5G17710//AT1G06560//AT3G10610//AT5G27230//AT5G11270//AT4G16630//AT1G79950//AT3G01345//AT3G15080//AT4G21770//AT2G23070//AT5G53540//AT1G15790//AT5G27620//AT5G07090//AT2G24050//AT2G03820//AT5G14580//AT2G05160//AT3G55280//AT5G41660//AT1G42440//AT5G08620//AT3G15640//AT1G09620//AT5G64420//AT3G51130//AT4G07410//AT5G46160//AT1G10500//AT1G68660//AT3G52140//AT2G15000//AT3G55620//AT3G10530//AT2G18110//AT3G51750//AT1G78750//AT5G03090//AT4G24280//AT1G69070//AT1G17690//AT3G16650//AT1G60770//AT5G08540//AT3G13882//AT4G15730//AT4G34265//AT2G17250//AT5G62270//AT3G03150//AT3G48500//AT3G62940//AT2G40010//AT1G27390//AT3G11710//AT5G25800//AT1G03910//AT5G24280//AT3G16780//AT4G10450//AT1G32580//AT1G12250//AT5G51020//AT3G60980//AT1G64220//AT5G42980//AT2G21450//AT4G28450//AT1G20370//AT3G27550//AT4G30150//AT5G58370//AT5G60250//AT5G56810//AT1G29900//AT3G11400//AT3G20300//AT5G48240//AT3G57940//AT1G70160//AT3G01160//AT1G11070//AT2G40360//AT3G60960//AT1G49540//AT3G60500//AT5G41190//AT3G03920//AT2G47790//AT4G37925//AT5G52520//AT2G36070//AT2G05220//AT1G71770//AT2G31660//AT2G25640//AT3G56490//AT5G11840//AT4G21490//AT3G53630//AT5G46790//AT5G14490//AT3G55010//AT3G03060//AT1G79150//AT1G04170//AT5G62370//AT1G67120//AT2G44510//AT3G06200//AT1G62540//AT3G49410//AT1G32870//AT3G55510//AT3G23620//AT3G57350//AT3G06530//AT1G80410//AT5G23250//AT3G56570//AT2G34750//AT3G57000//AT1G70440//AT4G32510//AT3G02560//AT3G04920//AT1G10490//AT5G42030//AT2G39670//AT4G26600//AT3G27740//AT5G09840//AT1G73490//AT3G12670//AT3G07750//AT1G08610//AT2G04030//AT2G37990//AT3G05030//AT1G29965//AT1G26880//AT1G74870//AT5G45095//AT3G25940//AT2G41190//AT4G13170//AT5G20160//AT1G08910//AT1G30680//AT2G18193//AT1G14060//AT1G67870//AT5G48120//AT4G00930//AT5G52820//AT5G10240//AT3G11964//AT3G06930//AT4G27640//AT2G06420//AT1G29395//AT5G05060//AT1G08190//AT5G40490//AT1G64600//AT5G35910//AT1G02870//AT3G11250	0.999999986802721	1
EXOPEPTIDASE_ACTIVITY	GO:0008238   exopeptidase activity,    GOslim:molecular_function	2	736	MF	97	AT5G13940//AT3G51800	0.710674418075087	1
REGULATION_OF_DNA_REPLICATION	GO:0006275   regulation of DNA replication,    GOslim:biological_process	2	736	BP	135	AT2G45280//AT2G40030	0.859071229842315	1
RELEASE_OF_SEED_FROM_DORMANCY	GO:0048838   release of seed from dormancy,    GOslim:biological_process	1	736	BP	3	AT1G07430	0.0960937982473294	1
